Entry,Date,Resale_Price,Type,Type_Rank,Venue,Days_Until,Day_Rank,Interested,Radio_Plays,Face,Corona,Day_Rank2
1,27-Feb,958,Pit,10,American Airlines Arena,11,1,5974,1428,145.5,0,1
2,27-Feb,425,Floor,9,American Airlines Arena,11,1,5974,1428,145.5,0,1
3,27-Feb,632,100A,8,American Airlines Arena,11,1,5974,1428,145.5,0,1
4,27-Feb,542,100B,6,American Airlines Arena,11,1,5974,1428,95.5,0,1
5,27-Feb,218,300A,2,American Airlines Arena,11,1,5974,1428,95.5,0,1
6,27-Feb,216,300B,1,American Airlines Arena,11,1,5974,1428,65.5,0,1
7,27-Feb,650,Pit,10,Amway Center,12,2,8715,519,146,0,2
8,27-Feb,543,Floor,9,Amway Center,12,2,8715,519,146,0,2
9,27-Feb,447,100A,8,Amway Center,12,2,8715,519,146,0,2
10,27-Feb,587,100B,6,Amway Center,12,2,8715,519,146,0,2
11,27-Feb,369,SuiteA,7,Amway Center,12,2,8715,519,146,0,2
12,27-Feb,271,SuiteB,5,Amway Center,12,2,8715,519,146,0,2
13,27-Feb,221,200A,4,Amway Center,12,2,8715,519,96.5,0,2
14,27-Feb,202,200B,3,Amway Center,12,2,8715,519,96.5,0,2
15,27-Feb,643,Pit,10,PNC Arena,14,4,6689,148,125.5,0,4
16,27-Feb,531,Floor,9,PNC Arena,14,4,6689,148,125.5,0,4
17,27-Feb,307,100A,8,PNC Arena,14,4,6689,148,125.5,0,4
18,27-Feb,207,100B,6,PNC Arena,14,4,6689,148,125.5,0,4
19,27-Feb,335,200A,4,PNC Arena,14,4,6689,148,75.5,0,4
20,27-Feb,320,200B,3,PNC Arena,14,4,6689,148,75.5,0,4
21,27-Feb,195,300A,2,PNC Arena,14,4,6689,148,55.5,0,4
22,27-Feb,162,300B,1,PNC Arena,14,4,6689,148,55.5,0,4
23,27-Feb,371,Pit,10,Wells Fargo Center,15,6,7654,401,149.25,0,5
24,27-Feb,325,Floor,9,Wells Fargo Center,15,6,7654,401,128,0,5
25,27-Feb,299,100A,8,Wells Fargo Center,15,6,7654,401,149.25,0,5
26,27-Feb,262,100B,6,Wells Fargo Center,15,6,7654,401,149.25,0,5
27,27-Feb,304,SuiteA,7,Wells Fargo Center,15,6,7654,401,128,0,5
28,27-Feb,252,SuiteB,5,Wells Fargo Center,15,6,7654,401,128,0,5
29,27-Feb,190,200A,4,Wells Fargo Center,15,6,7654,401,39.4,0,5
30,27-Feb,193,200B,3,Wells Fargo Center,15,6,7654,401,39.4,0,5
31,27-Feb,257,300A,2,Wells Fargo Center,15,6,7654,401,39.4,0,5
32,27-Feb,663,Pit,10,Madison Square Garden,17,5,2596,256,149.5,0,7
33,27-Feb,547,Floor,9,Madison Square Garden,17,5,2596,256,149.5,0,7
34,27-Feb,600,100A,8,Madison Square Garden,17,5,2596,256,149.5,0,7
35,27-Feb,342,100B,6,Madison Square Garden,17,5,2596,256,149.5,0,7
36,27-Feb,257,200A,4,Madison Square Garden,17,5,2596,256,99.5,0,7
37,27-Feb,312,300A,2,Madison Square Garden,17,5,2596,256,39.5,0,7
38,27-Feb,386,Pit,10,Prudential Center,18,1,1063,2,149.5,0,1
39,27-Feb,346,Floor,9,Prudential Center,18,1,1063,2,149.5,0,1
40,27-Feb,303,100A,8,Prudential Center,18,1,1063,2,149.5,0,1
41,27-Feb,199,100B,6,Prudential Center,18,1,1063,2,149.5,0,1
42,27-Feb,213,200A,4,Prudential Center,18,1,1063,2,99.5,0,1
43,27-Feb,167,200B,3,Prudential Center,18,1,1063,2,99.5,0,1
44,27-Feb,161,300A,2,Prudential Center,18,1,1063,2,39.5,0,1
45,27-Feb,165,300B,1,Prudential Center,18,1,1063,2,39.5,0,1
46,27-Feb,414,Pit,10,Capital One Arena,20,3,7953,421,149.5,0,3
47,27-Feb,382,Floor,9,Capital One Arena,20,3,7953,421,149.5,0,3
48,27-Feb,346,100A,8,Capital One Arena,20,3,7953,421,149.5,0,3
49,27-Feb,296,100B,6,Capital One Arena,20,3,7953,421,149.5,0,3
50,27-Feb,322,SuiteA,7,Capital One Arena,20,3,7953,421,149.5,0,3
51,27-Feb,311,200A,4,Capital One Arena,20,3,7953,421,99.5,0,3
52,27-Feb,325,200B,3,Capital One Arena,20,3,7953,421,99.5,0,3
53,27-Feb,194,300A,2,Capital One Arena,20,3,7953,421,39.5,0,3
54,27-Feb,199,300B,1,Capital One Arena,20,3,7953,421,39.5,0,3
55,27-Feb,868,Pit,10,TD Garden,21,4,7541,1205,149.5,0,4
56,27-Feb,359,Floor,9,TD Garden,21,4,7541,1205,149.5,0,4
57,27-Feb,384,100A,8,TD Garden,21,4,7541,1205,145.5,0,4
58,27-Feb,316,100B,6,TD Garden,21,4,7541,1205,99.5,0,4
59,27-Feb,351,SuiteA,7,TD Garden,21,4,7541,1205,149.5,0,4
60,27-Feb,362,SuiteB,5,TD Garden,21,4,7541,1205,149.5,0,4
61,27-Feb,315,200A,4,TD Garden,21,4,7541,1205,59.5,0,4
62,27-Feb,294,200B,3,TD Garden,21,4,7541,1205,39.5,0,4
63,27-Feb,415,Pit,10,United Center,26,2,7567,585,149.5,0,2
64,27-Feb,391,Floor,9,United Center,26,2,7567,585,149.5,0,2
65,27-Feb,431,100A,8,United Center,26,2,7567,585,149.5,0,2
66,27-Feb,244,100B,6,United Center,26,2,7567,585,149.5,0,2
67,27-Feb,211,200A,4,United Center,26,2,7567,585,99.5,0,2
68,27-Feb,374,200B,3,United Center,26,2,7567,585,99.5,0,2
69,27-Feb,237,300A,2,United Center,26,2,7567,585,39.5,0,2
70,27-Feb,200,300B,1,United Center,26,2,7567,585,39.5,0,2
71,27-Feb,950,Pit,10,Bridgestone Arena,30,6,7498,916,123,0,5
72,27-Feb,428,Floor,9,Bridgestone Arena,30,6,7498,916,123,0,5
73,27-Feb,381,100A,8,Bridgestone Arena,30,6,7498,916,73,0,5
74,27-Feb,325,100B,6,Bridgestone Arena,30,6,7498,916,73,0,5
75,27-Feb,365,200A,4,Bridgestone Arena,30,6,7498,916,53.5,0,5
76,27-Feb,330,200B,3,Bridgestone Arena,30,6,7498,916,53.5,0,5
77,27-Feb,212,300A,2,Bridgestone Arena,30,6,7498,916,34.4,0,5
78,27-Feb,201,300B,1,Bridgestone Arena,30,6,7498,916,34.4,0,5
79,27-Feb,399,Pit,10,The Forum A,36,7,2215,2162,149.5,0,6
80,27-Feb,427,Floor,9,The Forum A,36,7,2215,2162,149.5,0,6
81,27-Feb,464,100A,8,The Forum A,36,7,2215,2162,149.5,0,6
