ID,Price,Sqft,NumBeds,Garage,Pool,Lotsize,Highway
175,295000,1954,3,3,1,19300,0
176,274500,1926,5,2,0,26418,0
177,259000,2556,3,2,0,80886,0
178,415000,2282,5,2,0,23003,0
179,443000,3314,3,3,0,22012,0
180,249000,2001,3,2,0,23812,0
181,330000,2607,5,2,0,23139,0
182,291000,2840,4,2,0,23079,0
183,418000,3036,3,2,0,33746,0
184,320000,2240,4,3,0,18682,0
185,264000,1788,3,2,0,18484,0
186,381000,2620,5,2,0,28093,0
187,250000,1480,3,2,0,14230,0
188,360000,2588,3,2,1,19004,0
189,369500,3138,4,2,0,18190,0
190,285400,2460,5,2,0,27492,1
191,409000,3566,4,2,0,18044,1
192,333000,2692,5,3,0,22020,1
193,362000,2958,5,3,0,45200,1
194,387500,3164,4,2,1,23856,1
195,239000,2058,3,2,0,21046,1
196,299900,2717,3,2,0,22083,0
197,335000,2920,4,3,0,22434,0
198,275000,2554,5,2,0,21820,0
199,328000,2805,3,2,0,22582,0
200,333000,2736,4,2,1,29591,0
201,397000,3516,5,3,0,34795,0
202,374800,3536,6,2,1,19997,0
203,520000,2138,5,3,0,86830,0
204,325000,2718,4,3,0,22842,0
205,295000,2178,5,2,0,25891,0
206,415000,3152,5,2,0,24446,0
207,224900,2611,3,2,0,6924,0
208,265000,2060,4,2,0,13091,0
209,299900,2448,4,3,0,26790,0
210,390000,4050,6,2,1,18262,0
211,271000,2414,3,2,0,24357,0
212,330000,3072,4,2,0,16431,0
213,350000,2525,3,3,0,27138,0
214,310000,2866,5,3,0,25249,0
215,340000,3246,4,3,0,52218,0
216,307000,2707,4,2,0,22094,0
217,304000,2300,5,2,0,35824,0
218,275900,1860,3,2,0,40741,0
219,315000,3636,5,2,0,19776,0
220,295000,1910,4,2,0,30996,0
221,251010,2280,4,2,0,25543,0
222,335000,3386,4,2,0,38428,0
223,343500,2324,5,3,0,22435,1
224,297000,1970,4,2,0,25814,1
225,281000,2062,3,2,1,23608,1
226,235000,2617,4,2,0,8903,1
227,237000,2612,4,2,0,10144,1
228,274900,2472,3,2,0,22451,1
229,229900,1922,4,2,0,15791,0
230,259000,1852,3,2,0,22204,0
231,245000,2239,3,2,0,22216,0
232,208000,2068,3,2,0,34773,0
233,421000,2101,3,2,0,65499,0
234,320000,2200,4,2,0,31450,0
235,256000,1972,3,2,0,32027,0
236,275000,2007,3,2,1,21311,0
237,222000,2612,4,2,0,8229,0
238,249900,2124,4,3,0,21834,0
239,273500,2612,4,2,0,8924,0
240,218500,2548,2,2,0,10210,0
241,377000,2767,3,3,0,75232,0
242,220000,2025,3,2,0,19618,0
243,192900,1956,4,2,0,21779,0
244,298750,2460,4,2,0,23907,0
245,315000,2764,3,3,0,23947,0
246,315000,2004,4,2,0,24453,0
247,465900,2852,4,2,1,34040,0
248,239500,2096,3,2,0,15237,1
249,276000,2330,3,2,0,17433,1
250,226000,2520,4,2,0,12145,1
